date,model,per_category_iou,daily_mean_iou,daily_tornadobench,daily_weight,is_false_alarm,is_hard_hallucination,max_risk_status,daily_weighted_hallucination_loss,gt_overall_centroid_x,gt_overall_centroid_y,pred_overall_centroid_x,pred_overall_centroid_y,overall_centroid_distance,gt_hr_centroid_x,gt_hr_centroid_y,pred_hr_centroid_x,pred_hr_centroid_y,hr_centroid_distance,gt_had_actual_risk
20250301,SPC,"{'2%': 1.0, '5%': 1.0, '10%': 1.0, '15%': 1.0, '30%': 1.0, '45%': 1.0, '60%': 1.0, '0%': 1.0}",1.0,1.0,1,False,False,match,0.0,,,,,,,,,,,False
20250301,openai_o3_soundings_0,"{'2%': 0.0, '5%': 0.0, '10%': 0.0, '15%': 1.0, '30%': 1.0, '45%': 1.0, '60%': 1.0, '0%': 0.9047006459040691}",0.6130875807380086,0.0,1,True,True,over,10.0,,,698774.3686487107,872305.9456607732,,,,1004454.9227988246,646900.1122493749,,False
20250301,openai_o3,"{'2%': 1.0, '5%': 0.0, '10%': 0.0, '15%': 1.0, '30%': 1.0, '45%': 1.0, '60%': 1.0, '0%': 0.8853420116580122}",0.7356677514572515,0.0,1,True,True,over,10.0,,,819934.3790831188,602427.1540323381,,,,1222046.909580628,446500.91917267995,,False
20250301,anthropic_claude-3.7-sonnet,"{'2%': 0.0, '5%': 1.0, '10%': 1.0, '15%': 1.0, '30%': 1.0, '45%': 1.0, '60%': 1.0, '0%': 0.9861174783163246}",0.8732646847895406,0.0,1,True,True,over,2.0,,,1306709.3722192459,386289.0403420282,,,,1306709.3722192459,386289.0403420282,,False
20250301,openai_gpt-4.1_soundings_0,"{'2%': 1.0, '5%': 1.0, '10%': 1.0, '15%': 1.0, '30%': 1.0, '45%': 1.0, '60%': 1.0, '0%': 1.0}",1.0,1.0,1,False,False,match,0.0,,,,,,,,,,,False
20250301,openai_o4-mini-high,"{'2%': 0.0, '5%': 0.0, '10%': 0.0, '15%': 1.0, '30%': 1.0, '45%': 1.0, '60%': 1.0, '0%': 0.9625535071094415}",0.6203191883886802,0.0,1,True,True,over,10.0,,,142898.17415355684,928454.6750649672,,,,34109.82152767209,753840.8597877998,,False
20250301,anthropic_claude-3.7-sonnet_soundings_0,"{'2%': 1.0, '5%': 1.0, '10%': 1.0, '15%': 1.0, '30%': 1.0, '45%': 1.0, '60%': 1.0, '0%': 1.0}",1.0,1.0,1,False,False,match,0.0,,,,,,,,,,,False
20250301,openai_gpt-4.1,"{'2%': 1.0, '5%': 1.0, '10%': 1.0, '15%': 1.0, '30%': 1.0, '45%': 1.0, '60%': 1.0, '0%': 1.0}",1.0,1.0,1,False,False,match,0.0,,,,,,,,,,,False
20250301,deepseek_deepseek-r1,"{'2%': 0.0, '5%': 0.0, '10%': 0.0, '15%': 1.0, '30%': 1.0, '45%': 1.0, '60%': 1.0, '0%': 0.9751625930562651}",0.6218953241320331,0.0,1,True,True,over,10.0,,,124775.87384059056,1142403.0807557825,,,,-117466.17764802273,1192838.1559693064,,False
20250301,anthropic_claude-3.7-sonnet:thinking,"{'2%': 0.0, '5%': 1.0, '10%': 1.0, '15%': 1.0, '30%': 1.0, '45%': 1.0, '60%': 1.0, '0%': 0.999232482322642}",0.8749040602903302,0.0,1,True,True,over,2.0,,,1430872.7869201482,147817.34252093098,,,,1430872.7869201482,147817.34252093098,,False
20250301,google_gemini-2.5-pro-preview-03-25_soundings_0,"{'2%': 0.0, '5%': 0.0, '10%': 1.0, '15%': 1.0, '30%': 1.0, '45%': 1.0, '60%': 1.0, '0%': 0.9748982517657278}",0.746862281470716,0.0,1,True,True,over,5.0,,,1752534.711667315,1491841.1885228604,,,,1728818.4230318815,1478608.2260686285,,False
20250301,openai_o4-mini-high_soundings_0,"{'2%': 0.0, '5%': 0.0, '10%': 1.0, '15%': 1.0, '30%': 1.0, '45%': 1.0, '60%': 1.0, '0%': 0.980198267092854}",0.7475247833866068,0.0,1,True,True,over,5.0,,,2009470.1101021052,2405195.600349605,,,,2067376.2541773715,2488341.0931935892,,False
20250301,google_gemini-2.5-flash-preview:thinking_soundings_0,"{'2%': 0.0, '5%': 0.0, '10%': 1.0, '15%': 1.0, '30%': 1.0, '45%': 1.0, '60%': 1.0, '0%': 0.9019533391828849}",0.7377441673978606,0.0,1,True,True,over,5.0,,,914114.9843771955,1167154.924005549,,,,807795.0947054363,1156270.8830054486,,False
20250301,anthropic_claude-3.7-sonnet:thinking_soundings_0,"{'2%': 1.0, '5%': 1.0, '10%': 1.0, '15%': 1.0, '30%': 1.0, '45%': 1.0, '60%': 1.0, '0%': 1.0}",1.0,1.0,1,False,False,match,0.0,,,,,,,,,,,False
20250302,SPC,"{'2%': 0.0, '5%': 0.0, '10%': 1.0, '15%': 1.0, '30%': 1.0, '45%': 1.0, '60%': 1.0, '0%': 0.9969482313254822}",0.7496185289156853,0.0,1,True,True,over,5.0,,,-438866.31103202276,1126753.584642402,,,,-437778.89829212095,1143753.4773902562,,False
20250302,openai_o4-mini-high,"{'2%': 0.0, '5%': 0.0, '10%': 0.0, '15%': 1.0, '30%': 1.0, '45%': 1.0, '60%': 1.0, '0%': 0.9606499203352722}",0.620081240041909,0.0,1,True,True,over,10.0,,,-557212.3516482973,1080778.1377247993,,,,-557512.5548669846,1073999.306899411,,False
20250302,anthropic_claude-3.7-sonnet_soundings_0,"{'2%': 0.0, '5%': 0.0, '10%': 0.0, '15%': 1.0, '30%': 1.0, '45%': 1.0, '60%': 1.0, '0%': 0.941443570470875}",0.6176804463088594,0.0,1,True,True,over,10.0,,,152119.28499614613,796326.9722843373,,,,85463.66690554697,893897.8713193495,,False
20250302,google_gemini-2.5-pro-preview-03-25,"{'2%': 0.0, '5%': 0.0, '10%': 0.0, '15%': 1.0, '30%': 1.0, '45%': 1.0, '60%': 1.0, '0%': 0.9422550837332913}",0.6177818854666615,0.0,1,True,True,over,10.0,,,332551.40186893224,1305918.1103010506,,,,-99223.78707956853,1177411.495130112,,False
20250302,openai_o3,"{'2%': 1.0, '5%': 0.0, '10%': 0.0, '15%': 1.0, '30%': 1.0, '45%': 1.0, '60%': 1.0, '0%': 0.9509687836072033}",0.7438710979509005,0.0,1,True,True,over,10.0,,,618889.0995869548,797155.629462627,,,,560070.9925976689,748534.6367314185,,False
20250302,openai_o3_soundings_0,"{'2%': 0.0, '5%': 0.0, '10%': 0.0, '15%': 1.0, '30%': 1.0, '45%': 1.0, '60%': 1.0, '0%': 0.8534366530227335}",0.6066795816278416,0.0,1,True,True,over,10.0,,,573886.0437128757,838157.9367109793,,,,478246.8711474164,724553.864583124,,False
20250302,anthropic_claude-3.7-sonnet,"{'2%': 1.0, '5%': 1.0, '10%': 1.0, '15%': 1.0, '30%': 1.0, '45%': 1.0, '60%': 1.0, '0%': 1.0}",1.0,1.0,1,False,False,match,0.0,,,,,,,,,,,False
20250302,openai_gpt-4.1_soundings_0,"{'2%': 0.0, '5%': 1.0, '10%': 1.0, '15%': 1.0, '30%': 1.0, '45%': 1.0, '60%': 1.0, '0%': 0.9980497838023998}",0.8747562229753,0.0,1,True,True,over,2.0,,,128393.18698110737,493389.5763114253,,,,128393.18698110737,493389.5763114253,,False
20250302,deepseek_deepseek-r1_soundings_0,"{'2%': 0.0, '5%': 0.0, '10%': 0.0, '15%': 1.0, '30%': 1.0, '45%': 1.0, '60%': 1.0, '0%': 0.9910068478169178}",0.6238758559771147,0.0,1,True,True,over,10.0,,,-263160.0095670047,1142365.1837803794,,,,-209301.00552232374,1177912.0688883602,,False
20250302,anthropic_claude-3.7-sonnet:thinking,"{'2%': 1.0, '5%': 1.0, '10%': 1.0, '15%': 1.0, '30%': 1.0, '45%': 1.0, '60%': 1.0, '0%': 1.0}",1.0,1.0,1,False,False,match,0.0,,,,,,,,,,,False
20250302,anthropic_claude-3.7-sonnet:thinking_soundings_0,"{'2%': 0.0, '5%': 0.0, '10%': 0.0, '15%': 1.0, '30%': 1.0, '45%': 1.0, '60%': 1.0, '0%': 0.8657459077696548}",0.6082182384712068,0.0,1,True,True,over,10.0,,,-16189.654660019854,829927.6583038992,,,,129889.71359921453,861208.3376085352,,False
20250302,google_gemini-2.5-flash-preview:thinking_soundings_0,"{'2%': 0.0, '5%': 0.0, '10%': 0.0, '15%': 1.0, '30%': 1.0, '45%': 1.0, '60%': 1.0, '0%': 0.9536723231967692}",0.6192090403995961,0.0,1,True,True,over,10.0,,,584762.3604074762,678794.2133334652,,,,500576.59462916944,734438.1537499418,,False
20250302,openai_o4-mini-high_soundings_0,"{'2%': 1.0, '5%': 1.0, '10%': 1.0, '15%': 1.0, '30%': 1.0, '45%': 1.0, '60%': 1.0, '0%': 1.0}",1.0,1.0,1,False,False,match,0.0,,,,,,,,,,,False
20250302,deepseek_deepseek-r1,"{'2%': 0.0, '5%': 0.0, '10%': 0.0, '15%': 1.0, '30%': 1.0, '45%': 1.0, '60%': 1.0, '0%': 0.9825844036268648}",0.6228230504533581,0.0,1,True,True,over,10.0,,,164281.3717711842,883821.0125764497,,,,312320.86062233837,853958.5896425359,,False
20250302,openai_gpt-4.1,"{'2%': 0.0, '5%': 0.0, '10%': 0.0, '15%': 0.0, '30%': 1.0, '45%': 1.0, '60%': 1.0, '0%': 0.979842418616536}",0.49748030232706697,0.0,1,True,True,over,15.0,,,-16760.3010641779,646020.8693824993,,,,84583.36309082873,514649.9695545705,,False
